UNITID,E2011
137892,1436
137892,1436
137953,252
137953,246
137953,6
137962,235
137962,235
138132,153
138132,153
138187,59259
138187,59259
138275,1378
138275,1179
138275,199
138284,943
138284,943
138293,864
138293,774
138293,90
138309,8878
138309,8878
138354,14670
138354,11771
138354,2899
138372,1141
138372,1141
138479,1822
138479,1822
138488,909
138488,909
138497,648
138497,648
138558,3989
138558,3989
138594,5317
138594,5317
138600,1021
138600,996
138600,25
138655,517
138655,517
138664,36
138664,36
138682,7029
138682,7029
138691,8506
138691,8506
138716,5348
138716,4723
138716,625
138761,387
138761,387
138789,9297
138789,8250
138789,1047
138813,5830
138813,5830
138822,1270
138822,1270
138840,8239
138840,8239
138868,1352
138868,1352
138901,4661
138901,4661
138929,631
138929,631
138938,474
138938,474
138947,4301
138947,3561
138947,740
138956,7624
138956,7624
138983,8460
138983,7032
138983,1428
139010,5427
139010,5427
139074,1197
139074,1197
139092,123
139092,123
139144,2220
139144,2002
139144,218
139153,845
139153,640
139153,205
139199,3480
139199,2230
139199,1250
139205,1156
139205,1156
139214,371
139214,371
139250,4560
139250,4560
139278,12507
139278,12507
139287,285
139287,285
139311,8693
139311,8365
139311,328
139348,397
139348,397
139357,6889
139357,6889
139366,10321
139366,8693
139366,1628
139384,10411
139384,10411
139393,1356
139393,1293
139393,63
139463,7328
139463,7328
139506,309
139506,309
139533,7245
139533,7245
139579,2504
139579,1644
139579,860
139621,4067
139621,4067
139630,855
139630,855
139658,14751
139658,7735
139658,7016
139700,7269
139700,7269
139719,4351
139719,4048
139719,303
139746,109
139746,109
139755,23017
139755,15175
139755,7842
139764,3832
139764,3422
139764,410
139773,11565
139773,11565
139861,7723
139861,6295
139861,1428
139904,2227
139904,2227
139931,23026
139931,19599
139931,3427
139940,37712
139940,27824
139940,9888
139959,38822
139959,28891
139959,9931
139968,6430
139968,6430
139986,9892
139986,9892
139995,320
139995,320
140003,775
140003,775
140012,11010
140012,11010
140085,7666
140085,7666
140146,470
140146,470
140164,28407
140164,25834
140164,2573
140234,1129
140234,898
140234,231
140243,6921
140243,6921
140252,2874
140252,1050
140252,1824
140304,12199
140304,12199
140322,8442
140322,8442
140331,20402
140331,20402
140340,941
140340,941
140401,2646
140401,560
140401,2086
140447,9530
140447,5119
140447,4411
140483,4563
140483,4563
140553,2721
140553,2721
140562,329
140562,329
140599,4164
140599,4164
140669,6914
140669,6222
140669,692
140678,4296
140678,4296
140696,1330
140696,1248
140696,82
140720,1064
140720,1064
140818,3113
140818,1345
140818,1768
140827,144
140827,144
140872,1466
140872,1347
140872,119
140942,9750
140942,9750
140951,11379
140951,9027
140951,2352
140960,4700
140960,4548
140960,152
140988,1975
140988,1940
140988,35
140997,2867
140997,2867
141006,4407
141006,4407
141015,371
141015,371
141060,2228
141060,2228
141097,6678
141097,5699
141097,979
141158,2671
141158,2671
141167,1383
141167,1101
141167,282
141185,837
141185,837
141237,848
141237,848
141255,9008
141255,9008
141264,15095
141264,12295
141264,2800
141307,1740
141307,1740
141325,814
141325,732
141325,82
141334,13314
141334,11189
141334,2125
141361,862
141361,862
141468,3128
141468,3128
141486,3815
141486,2776
141486,1039
141565,4788
141565,4114
141565,674
141574,23854
141574,16468
141574,7386
141608,168
141608,168
141644,10331
141644,8697
141644,1634
141680,6519
141680,6519
141796,13304
141796,13304
141802,1787
141802,1787
141811,10697
141811,10697
141839,5773
141839,5773
141848,288
141848,288
141936,55
141936,55
141945,244
141945,244
141981,1811
141981,1811
141990,3705
141990,3705
142054,1083
142054,1083
142090,202
142090,202
142115,29520
142115,22520
142115,7000
142179,1420
142179,1420
142276,18620
142276,15414
142276,3206
142285,15087
142285,10962
142285,4125
142294,1074
142294,1048
142294,26
142328,5816
142328,5816
142337,913
142337,913
142407,70
142407,70
142416,35
142416,35
142443,8675
142443,8675
142461,2561
142461,1599
142461,962
142489,113
142489,113
142522,24584
142522,24584
142559,13727
142559,13727
142832,988
142832,988
142869,44
142869,44
142878,74
142878,74
142887,511
142887,511
143048,3599
143048,2799
143048,800
143075,698
143075,698
143084,2692
143084,2692
143118,8004
143118,2956
143118,5048
143181,80
143181,80
143215,24685
143215,24685
143233,82
143233,82
143279,13098
143279,13098
143288,624
143288,624
143297,289
143297,265
143297,24
143303,20
143303,20
143358,6206
143358,5273
143358,933
143376,547
143376,547
143464,201
143464,201
143473,91
143473,91
143482,80
143482,80
143491,140
143491,140
143516,109
143516,109
143534,142
143534,142
143543,201
143543,201
143552,166
143552,166
143613,4843
143613,4843
143659,541
143659,541
143695,69
143695,69
143853,2239
143853,2239
143978,3425
143978,3425
144005,8981
144005,6768
144005,2213
144014,248
144014,248
144050,17645
144050,5402
144050,12243
144157,10320
144157,10320
144166,13065
144166,13065
144175,7791
144175,7791
